metabolite,p_value,beta_coefficient,adjusted_p_value
"N6,N6,N6-trimethyllysine",2.909841462616454e-4,-0.1071491149460405,0.019757823531165727
N-acetylputrescine,5.645951733784375e-4,0.06419649272453916,0.030668809817916722
glutarate (C5-DC),3.399546858639801e-4,0.3456326902860312,0.02198373635253738
2-aminoadipate,1.2193856042647443e-4,0.14800716993992688,0.010349535316197016
citrulline,1.0667186436473933e-5,-0.080348115203216,0.001609559908970178
malate,5.324531368428386e-4,0.08974571785996915,0.030127973326357287
glycochenodeoxycholate,2.7553630618217326e-4,0.87976955094129206,0.01969359493659954
glucuronate,1.0035993557773583e-4,0.1417839693195537,0.009085919500971016
2-isopropylmalate,1.3171573311844464e-4,0.9372466354328374,0.0105217626808734
3-hydroxyoctanoate,3.444208837616591e-7,0.3878887839005172,1.1693089003708327e-4
3-hydroxydecanoate,1.6211047667632073e-7,0.3026587853855548,7.338200910881452e-5
galactonate,9.78782400707524e-4,0.3890181701632621,0.04430621667202725
1-arachidonylglycerol (20:4),0.0011382229308059513,0.13280673209623722,0.04683959818286309
ergothioneine,3.158365800204876e-6,0.3405184019932756,6.060709658983867e-4
glycoursodeoxycholate,3.570373878635562e-6,1.515470991873623,6.060709658983867e-4
tauroursodeoxycholate,1.248532709416519e-15,1.40376804150322,8.477537096938163e-13
prolylglycine,6.960584368307615e-17,0.7103110260472578,9.452473572161741e-14
2-piperidinone,8.014481158137212e-4,0.6441348198840008,0.040985924416454794
2-methoxyresorcinol sulfate,2.0669473194015594e-4,1.2271378686637053,0.015593969220818432
"sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*",4.367302159039817e-4,-0.06187948486935464,0.026958165145345776
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",0.0011231651394888595,-0.041022290351852356,0.04683959818286309
2-hydroxybehenate,8.909462240585577e-4,0.11393564986169263,0.041720861112811085
2-hydroxynervonate*,5.2963118394633054e-5,0.15353950488883905,0.006538537707264699
cortolone glucuronide (1),0.0011756234377271434,-0.0833643166201936,0.046955783189219426
2-hydroxyarachidate*,1.4750120269665943e-5,0.2039878198055017,0.0020030663326206354
"N,N,N-trimethyl-alanylproline betaine (TMAP)",8.391651759780976e-7,0.10626686528787053,2.2791726179565133e-4
tauroursodeoxycholic acid sulfate (1),7.022642188729576e-5,0.25710940402785376,0.007706893930612891
cortisol 21-sulfate,7.377733512368746e-5,0.009052222949596584,0.007706893930612891
X-16397,1.336030917634612e-6,-0.1731895270962526,3.0238833102463387e-4
X-17328,8.450706065248412e-4,1.7654220479339575,0.040985924416454794
X-17765,0.0011212033209098407,0.3320040389442403,0.04683959818286309
X-21353,8.418189597307657e-4,0.15907833369393798,0.040985924416454794
X-23644,9.915644517209368e-5,1.6980793351948429,0.009085919500971016
X-24795,4.8818315409224065e-4,0.5326487653212043,0.028824031445967947
