"model_id","alpha","lambda","dropped","test_rmsee","test_mae","test_r2"
815,0.055,0.0651733960488242,"`ascorbic acid 3-sulfate*`;`5-hydroxyindole sulfate`;`X-21364`",0.380769974957114,0.288753201953364,-0.031281027770913
39,0.195,0.0400880632889846,"GENDERFemale;CENTER_CDanemark;CENTER_CFrance;`methionine sulfone`;valine;`5-hydroxyindole sulfate`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.379111211682003,0.290363211342237,-0.0223153785916397
546,0.72,0.00860346441668451,"CENTER_CFrance;`N6-acetyllysine`;`X-18887`;`X-25519`;`indolin-2-one`;`X-15461`;`5-hydroxyindole sulfate`",0.387173487540048,0.284034417351449,-0.0662593643318634
450,0.24,0.0267384161583995,"GENDERMale;CENTER_CGermany;`N6-acetyllysine`;`X-25519`;`indolin-2-one`;`X-15461`;`N-acetylneuraminate`;`X-17654`;`5-hydroxyindole sulfate`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.380211628027788,0.28926647141921,-0.0282587809663584
222,0.105,0.0511143348344017,"AGE;GENDERFemale;CENTER_CDanemark;`N6-acetyllysine`;`X-15461`;`X-21364`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.377449448364936,0.292340060706701,-0.0133727630498248
597,0.975,0.00622257083673023,"GENDERFemale;CENTER_CDanemark;CENTER_CFrance;`cholic acid glucuronide`;`X-15461`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.404184586878643,0.314857844203028,-0.16201339318975
911,0.535,0.0164467617799466,"GENDERMale;CENTER_CFrance;`methionine sulfone`;`X-18887`;`ascorbic acid 3-sulfate*`;`indolin-2-one`;`X-15461`;`N-acetylneuraminate`;`X-17654`;`5-hydroxyindole sulfate`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.402845718874816,0.312593342540452,-0.154327767240089
775,0.86,0.0139871310264724,"metformin;GENDERMale;GENDERFemale;CENTER_CDanemark;CENTER_CFrance;`cholic acid glucuronide`;leucine;`methionine sulfone`;valine;`indolin-2-one`;`X-15461`;`N-acetylneuraminate`;`X-17654`;`5-hydroxyindole sulfate`;`X-21364`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.393493861456611,0.295138964855015,-0.101355590903578
218,0.085,0.0554266452066311,"`N-acetylneuraminate`;`X-17654`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.379988966968652,0.289478558008943,-0.0270547875473273
399,0.99,0.0101163797976621,"GENDERMale;GENDERFemale;CENTER_CDanemark;CENTER_CFrance;`cholic acid glucuronide`;`N6-acetyllysine`;`methionine sulfone`;valine;`indolin-2-one`;`X-15461`;`N-acetylneuraminate`;`5-hydroxyindole sulfate`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.380553880271641,0.288948864979735,-0.03011081411542
367,0.83,0.0118953406737032,"GENDERMale;GENDERFemale;CENTER_CDanemark;CENTER_CFrance;leucine;`N6-acetyllysine`;`methionine sulfone`;valine;`indolin-2-one`;`X-15461`;`X-17654`;`5-hydroxyindole sulfate`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.380131740992656,0.289342049316471,-0.0278267272913708
610,0.035,0.097712415353465,"GENDERFemale;CENTER_CDanemark;`X-15461`;`X-21364`",0.396889462926983,0.301862019590479,-0.120445599290819
287,0.43,0.0209704640132323,"GENDERMale;GENDERFemale;CENTER_CDanemark;CENTER_CFrance;leucine;`N6-acetyllysine`;`ascorbic acid 3-sulfate*`;`indolin-2-one`;`X-15461`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.381366228320495,0.288231008984427,-0.0345133531439257
941,0.685,0.00731680714342719,"CENTER_CFrance;leucine;`N6-acetyllysine`;`methionine sulfone`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.377327480973973,0.292508012398797,-0.0127179550325685
820,0.08,0.0830994194935339,"GENDERMale;CENTER_CFrance;leucine;`ascorbic acid 3-sulfate*`;`1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*`;`X-17654`;`5-hydroxyindole sulfate`;`andro steroid monosulfate C19H28O6S (1)*`;NA",0.375011498108834,0.298060006128672,-0.000324267496498054
23,0.115,0.0471375313411673,"GENDERMale;GENDERFemale;CENTER_CDanemark;CENTER_CFrance;`methionine sulfone`;valine;`indolin-2-one`;`X-15461`;`N-acetylneuraminate`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`",0.378323061961378,0.291239767599351,-0.0180691309740086
