"input","output","mediator","acme","acme_ci_lower","acme_ci_upper","ade","ade_ci_lower","ade_ci_upper","total_effect","total_ci_lower","total_ci_upper","prop_mediated","acme_p","ade_p","total_p","acme_p_adj","ade_p_adj","total_p_adj"
"DOSAGE_METFORMIN_C","GLYCATHB","X-21310",-0.0549189658142023,-0.132472828855119,-0.00789858141372318,0.691205065198296,0.417344271076872,0.976494678543149,0.636286099384094,0.370208538010299,0.897194592095037,-0.0863117485473315,0.004,0,0,0.044,0,0
"DOSAGE_METFORMIN_C","GLYCATHB","X-18887",0.0567996972840806,0.00909695269874677,0.114232677856161,0.575234142407029,0.31233636453963,0.853121545670059,0.63203383969111,0.360836881818628,0.905157690055049,0.0898681268582707,0.01,0,0,0.055,0,0
"DOSAGE_METFORMIN_C","AG","FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.0181112880576924,0.00469363573019428,0.0379517246690465,-0.265096635233326,-0.37901519491723,-0.152730372737191,-0.246985347175634,-0.357792716739154,-0.134889807149927,-0.0733294029982,0,0,0,0,0,0
"DOSAGE_METFORMIN_C","AG","X-25937",0.019957242569534,0.00358450470514505,0.045215518091471,-0.266688176408569,-0.379349119697216,-0.151377910044997,-0.246730933839035,-0.356041115005063,-0.135238828710113,-0.0808866657253197,0.008,0,0,0.088,0,0
"DOSAGE_METFORMIN_C","AG","ascorbic acid 3-sulfate*",0.0303771799425285,0.00950499422769426,0.0622918550008245,-0.274843443632741,-0.395409606022212,-0.156188732523075,-0.244466263690213,-0.360992482253045,-0.128075159603941,-0.124259190139309,0,0,0,0,0,0
"DOSAGE_METFORMIN_C","GLYCATHB","1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*",0.0394157487878581,0.00346281714742285,0.0889057354979274,0.597729619682531,0.324207290520244,0.888285458705104,0.637145368470389,0.366217163216102,0.925016160786084,0.0618630390149181,0.034,0,0,0.0792,0,0
"DOSAGE_METFORMIN_C","GLYCATHB","X-25519",-0.141683794803548,-0.265101951649109,-0.0392098973162346,0.710685140416431,0.455661943445251,0.960069508528342,0.569001345612883,0.314751149865008,0.803016107139272,-0.249004322917616,0.002,0,0,0.022,0,0
"DOSAGE_METFORMIN_C","AG","X-25519",0.030697529381089,0.00429800360243497,0.0667744994228564,-0.267914259991687,-0.374249607501543,-0.158578649576698,-0.237216730610598,-0.346069480714612,-0.128702576829297,-0.12940710084855,0.016,0,0,0.088,0,0
"DOSAGE_METFORMIN_C","GLYCATHB","N-formylmethionine",-0.0568330015363912,-0.146731346898506,-0.00230226592887683,0.696669566711528,0.406328626857217,0.96864954856523,0.639836565175137,0.355623681413938,0.918279726653659,-0.0888242476746148,0.034,0,0,0.0792,0,0
"DOSAGE_METFORMIN_C","AG","N-formylmethionine",0.0431820999499476,0.0148473015503413,0.0811974606162249,-0.285320648790687,-0.403775656652752,-0.173580425758116,-0.242138548840739,-0.356080324526558,-0.1300652371673,-0.178336329166446,0,0,0,0,0,0
"DOSAGE_METFORMIN_C","GLYCATHB","valine",0.0478829704798588,0.00364016705005898,0.10511853561899,0.591377147223199,0.267048893733719,0.889741975995599,0.639260117703057,0.337181863225195,0.923215923010706,0.0749037350427998,0.036,0,0,0.0792,0,0
